Game,Request Type,Assignee,Total WC,Languages,Date Rcvd,Due Date,Status
Game SR,Trans,Trans_02,"1,439",EN only,4/29,5/8,Delivered
Game SI,Trans,Trans_03,465,EN only,5/8,5/9,Delivered
Game ML,Trans,Trans_01,"2,068",MLT,5/9,5/13,Need to assign MLT
Game SI,Trans,Trans_02,41,EN only,5/7,5/9,Delivered
Game S,Trans,Trans_01,411,MLT only,5/2,5/9,Delivered
Game S,Trans,Trans_01,154,MLT only,5/7,5/9,Delivered
Game S,Trans,Trans_01,186,MLT only,5/7,5/9,Delivered
Game SL,Trans,Trans_02,85,MLT only,5/8,5/9,Delivered
Game S,Trans,Trans_01,21,MLT only,5/8,5/9,Delivered
Game A,Trans,Trans_01,120,MLT only,4/30,5/9,Delivered
Game M,Trans,Vendor_M,595,MLT only,5/7,5/9,Delivered
Game K,Trans,Trans_01,17,EN only,4/29,5/9,Delivered
Game S,LQA,Edit_01,-,EN only,5/9,5/12,Delivered
Game S,LQA,Edit_01,-,EN only,5/9,5/9,Delivered
Game RB,Trans,Trans_03,16,EN only,5/9,5/9,Delivered
Game SL,Trans,Trans_02,221,EN only,5/9,5/12,Delivered
Game S,Trans,Trans_01,18,MLT only,5/8,5/12,Delivered
Game S,Trans,Trans_01,11,MLT only,5/9,5/12,Delivered
Game ML,Trans,Trans_01,5,EN only,5/9,5/12,Delivered
Game K,Trans,Trans_01,59,MLT only,5/7,5/12,Delivered
Game SI,Trans,Trans_02,"2,932",EN only,4/30,5/13,Delivered
Game RB,Trans,Trans_01,45,EN only,5/7,5/12,Delivered
Game S,LQA,Edit_01,-,EN only,5/12,5/13,Delivered
Game S,Trans,Trans_01,116,EN only,5/12,5/12,Delivered
Game A,Trans,Trans_01,"1,597",EN only,4/30,5/13,Delivered
Game S,Trans,Trans_01,"1,277",EN only,5/8,5/12,Delivered
Game T,Trans,Trans_01,21,MLT only,5/9,5/13,Delivered
Game T,Trans,Trans_01,697,MLT only,5/12,5/13,Delivered
Game T,Trans,Trans_01,56,MLT only,5/12,5/13,Delivered
Game S,LQA,Edit_01,-,EN only,5/13,5/15,Delivered
Game SL,Trans,Trans_02,"2,234",MLT only,4/30,5/13,Delivered
Game S,Trans,Trans_01,854,MLT only,5/8,5/13,Delivered
Game S,Trans,Trans_01,91,MLT only,5/9,5/13,Delivered
Game SI,LQA,Edit_03,-,EN only,5/13,5/13,Delivered
Game K,Trans,Trans_01,21,EN only,5/7,5/13,Delivered
Game zero,Trans,Trans_01,11,EN only,5/12,5/14,Delivered
Game zero,Review,PR_01,730,EN only,5/12,5/13,Delivered
Game S,LQA,Edit_01,-,EN only,5/13,5/13,Delivered
Game T,LQA,Edit_02,-,EN only,5/9,5/13,Delivered
Game RB,Trans,Trans_03,36,EN only,5/9,5/13,Delivered
Game RB,Trans,Trans_03,35,EN only,5/12,5/13,Delivered
Game M,Trans,Trans_02,"1,252",MLT only,5/8,5/14,Delivered
Game M,Trans,Trans_02,19,MLT only,5/12,5/14,Delivered
Game SL,Trans,Trans_02,443,MLT only,5/9,5/14,Delivered
Game S,Trans,Trans_01,98,MLT only,5/9,5/14,Delivered
Game S,Trans,Trans_01,226,MLT only,5/12,5/14,Delivered
Game ML,Trans,Trans_01,67,MLT only,5/9,5/14,Delivered
Game S,Trans,Trans_01,742,MLT only,5/9,5/14,Delivered
Game S,Trans,Trans_01,102,MLT only,5/12,5/14,Delivered
Game S,Trans,Trans_01,239,MLT only,5/9,5/14,Delivered
Game zero,Review,PR_01,730,EN only,5/12,5/15,Delivered
Game S,LQA,Edit_01,-,EN only,5/14,5/15,Delivered
Game S,Review,Trans_01,10,EN only,5/14,5/14,Delivered
Game S,Trans,Trans_01,"1,506",EN only,5/14,5/14,Delivered
Game ML,Trans,Trans_01,172,MLT only,5/13,5/15,Delivered
Game S,Trans,Trans_01,492,MLT only,5/12,5/15,Delivered
Game S,Trans,Trans_01,874,MLT only,5/13,5/15,Delivered
Game S,Trans,Trans_01,18,MLT only,5/14,5/15,Delivered
Game K,Trans,Vendor_E,"14,106",MLT only,4/16,5/15,Delivered
Game O,Trans,Trans_01,"19,436",MLT only,3/28,5/15,Delivered
Game O,Trans,Trans_01,345,MLT only,5/9,5/15,Delivered
Game ML,Trans,Trans_01,26,EN only,5/13,5/15,Delivered
Game K,LQA,Edit_02,-,EN only,5/8,5/15,Delivered
Game A,LQA,Edit_03,-,EN only,5/15,5/15,Delivered
Game RB,Trans,Trans_03,22,EN only,5/14,5/15,Delivered
Game M,Trans,Trans_02,168,EN only,5/14,5/15,Delivered
Game A,Trans,Trans_01,"1,212",MLT only,5/12,5/15,Delivered
Game K,Trans,Trans_01,151,EN only,5/12,5/15,Delivered
Game R,Trans,Vendor_E,"15,829",EN only,4/30,5/16,Delivered
Game SI,Trans,Trans_03,"1,396",EN only,5/9,5/16,Delivered
Game S,LQA,Edit_01,-,EN only,5/15,5/15,Delivered
Game O,Trans,Trans_01,151,MLT only,5/14,5/16,Delivered
Game T,Trans,Trans_01,21,MLT only,5/15,5/16,Delivered
Game ML,Trans,Trans_01,"2,068",MLT only,5/9,5/16,Delivered
Game SL,Trans,Trans_02,391,MLT only,5/13,5/16,Delivered
Game S,Trans,Trans_01,39,MLT only,5/13,5/16,Delivered
Game S,Trans,Trans_01,77,MLT only,5/14,5/16,Delivered
Game S,Trans,Trans_01,286,EN only,5/14,5/16,Delivered
Game S,LQA,Edit_01,-,EN only,5/16,5/19,Delivered
Game RB,LQA,Edit_04,-,EN only,5/8,5/16,Delivered
Game zero,Trans,Trans_01,30,MLT only,5/12,5/19,Delivered
Game zero,Trans,Trans_01,235,MLT only,5/14,5/19,Delivered
Game ML,Trans,Trans_01,321,MLT only,5/14,5/19,Delivered
Game S,Trans,Trans_01,34,MLT only,5/16,5/19,Delivered
Game S,Trans,Trans_01,21,MLT only,5/14,5/19,Delivered
Game K,Trans,Trans_01,"2,992",MLT only,4/25,5/19,Delivered
Game K,Trans,Trans_01,"3,056",MLT only,4/25,5/19,Delivered
Game M,Trans,Trans_02,49,EN only,5/16,5/19,Delivered
Game A,Trans,Trans_01,317,MLT only,5/15,5/19,Delivered
Game A,Trans,Trans_01,140,MLT only,5/15,5/19,Delivered
Game RB,LQA,Edit_05,-,EN only,5/19,5/19,Delivered
Game ML,Trans,Trans_01,71,EN only,5/19,5/19,Delivered
Game T,LQA,Edit_02,-,EN only,5/15,5/19,Delivered
Game SL,Trans,Trans_02,"1,539",MLT only,5/15,5/20,Delivered
Game S,Trans,Trans_01,777,MLT only,5/16,5/20,Delivered
Game S,Trans,Trans_01,188,MLT only,5/15,5/20,Delivered
Game SI,Trans,Trans_03,689,EN only,5/16,5/20,Delivered
Game M,Trans,Trans_02,"1,022",MLT only,5/15,5/20,Delivered
Game T,Trans,Trans_01,881,MLT only,5/16,5/20,Delivered
Game T,Trans,Trans_01,13,MLT only,5/19,5/20,Delivered
Game K,Trans,Trans_01,4,EN only,5/16,5/20,Delivered
Game RB,Trans,Trans_03,148,EN only,5/20,5/20,Delivered
Game S,Trans,Trans_01,653,MLT,5/20,5/20,Delivered
Game S,LQA,Edit_01,-,EN only,5/20,5/20,Delivered
Game S,LQA,Edit_01,-,EN only,5/19,5/20,Delivered
Game zero,Trans,Trans_01,13,MLT only,5/16,5/21,Delivered
Game O,Trans,Trans_01,"9,132",MLT only,3/31,5/21,Delivered
Game K,Trans,Trans_01,"3,535",MLT only,5/12,5/21,Delivered
Game A,Trans,Trans_01,119,MLT only,5/16,5/21,Delivered
Game S,Trans,Trans_01,279,MLT only,5/14,5/21,Delivered
Game S,Trans,Trans_01,61,EN only,5/21,5/22,Delivered
Game SI,Trans,Trans_03,15,EN only,5/16,5/21,Delivered
Game A,LQA,Edit_03,-,EN only,5/21,5/21,Delivered
Game zero,Trans,Trans_01,25,EN only,5/20,5/22,Delivered
Game zero,Trans,Trans_01,23,EN only,5/16,5/23,Delivered
Game RB,Trans,Trans_03,"1,775",EN only,5/16,5/21,Delivered
Game RB,LQA,Edit_04,-,EN only,5/21,5/21,Delivered
Game RB,Trans,Trans_03,35,EN only,5/21,5/21,Delivered
Game RB,Trans,Trans_03,200,EN only,5/20,5/21,Delivered
Game SR,LQA,Edit_01,-,EN only,5/19,5/21,Delivered
Game S,Trans,Trans_01,99,MLT only,5/19,5/22,Delivered
Game S,Trans,Trans_01,15,MLT only,5/20,5/22,Delivered
Game SL,Trans,Trans_02,22,MLT only,5/20,5/22,Delivered
Game SL,Trans,Trans_02,175,MLT only,5/20,5/22,Delivered
Game K,Trans,Trans_01,"2,003",MLT only,5/16,5/22,Delivered
Game O,Trans,Trans_01,134,MLT only,5/19,5/22,Delivered
Game SR,Trans,Trans_02,67,MLT only,5/19,5/22,Delivered
Game SR,Trans,Trans_02,69,EN only,5/22,5/23,Delivered
Game T,Trans,Trans_01,"1,496",MLT only,5/16,5/26,Delivered
Game SR,Trans,Trans_02,3,MLT only,5/21,5/26,Delivered
Game zero,Trans,Trans_01,8,MLT only,5/20,5/23,Delivered
Game S,Trans,Trans_01,98,MLT only,5/20,5/23,Delivered
Game K,Trans,Trans_01,"1,052",MLT only,5/20,5/23,Delivered
Game SR,Trans,Trans_02,"2,945",MLT only,5/15,5/23,Delivered
Game SI,Trans,Trans_03,589,EN only,5/21,5/23,Delivered
Game zero,Review,PR_01,730,EN only,5/19,5/23,Delivered
Game M,Trans,Vendor_M,168,MLT only,5/21,5/23,Delivered
Game ML,Trans,Trans_01,501,EN only,5/22,5/23,Delivered
Game M,Trans,Vendor_M,13,MLT only,5/21,5/23,Delivered
Game M,Trans,Vendor_M,49,MLT only,5/21,5/23,Delivered
Game M,Trans,Vendor_M,327,MLT only,5/22,5/23,Delivered
Game A,Trans,Trans_01,229,MLT only,5/22,5/23,Delivered
Game SI,Trans,Trans_03,392,EN only,5/23,5/23,Delivered
Game K,LQA,Edit_02,-,EN only,5/20,5/23,Delivered
Game K,Trans,Trans_01,33,EN only,5/22,5/23,Delivered
Game S,LQA,Edit_01,-,EN only,5/23,5/23,Delivered
Game SL,Trans,Trans_02,82,MLT only,5/22,5/27,Delivered
Game S,Trans,Trans_01,99,MLT only,5/22,5/26,Delivered
Game S,Trans,Trans_01,27,MLT only,5/22,5/26,Delivered
Game SL,Trans,Trans_02,18,MLT only,5/22,5/27,Delivered
Game SL,Trans,Trans_02,80,MLT only,5/23,5/26,Delivered
Game S,Trans,Trans_01,26,MLT only,5/23,5/27,Delivered
Game S,Trans,Trans_01,73,MLT only,5/23,5/27,Delivered
Game zero,Trans,Trans_01,121,MLT only,5/23,5/27,Delivered
Game M,Trans,Trans_02,594,MLT only,5/22,5/27,Delivered
Game O,Trans,Vendor_E,"10,988",MLT only,4/21,5/27,Delivered
Game K,Trans,Trans_01,111,MLT only,5/21,5/27,Delivered
Game K,Trans,Trans_01,62,MLT only,5/22,5/27,Delivered
Game A,Trans,Trans_01,95,MLT only,5/23,5/26,Delivered
Game K,Trans,Trans_01,326,MLT only,5/23,5/27,Delivered
Game SR,Trans,Trans_02,47,MLT only,5/22,5/27,Delivered
Game O,LQA,Edit_05,-,EN only,5/27,5/27,Delivered
Game SI,Trans,Trans_03,88,EN only,5/23,5/27,Delivered
Game SI,LQA,Edit_04,-,EN only,5/27,5/27,Delivered
Game ML,Trans,Trans_01,66,EN only,5/27,5/27,Delivered
Game K,Trans,Trans_01,85,EN only,5/23,5/27,Delivered
Game SL,Trans,Trans_02,52,EN only,5/22,5/27,Delivered
Game ML,LQA,Edit_03,-,EN only,5/16,5/27,Delivered
Game RB,Trans,Trans_03,788,EN only,5/27,5/27,Delivered
Game SL,Trans,Trans_02,"2,202",MLT only,5/21,5/28,Delivered
Game S,Trans,Trans_01,105,MLT only,5/23,5/28,Delivered
Game S,Trans,Trans_01,748,MLT only,5/27,5/28,Delivered
Game ML,Trans,Trans_01,639,EN only,5/23,5/28,Delivered
Game A,Trans,Trans_01,204,MLT only,5/23,5/28,Delivered
Game S,Trans,Trans_01,174,EN only,5/28,5/28,Delivered
Game SR,LQA,Edit_01,-,EN only,5/27,5/28,Delivered
Game SL,LQA,Edit_01,-,EN only,5/27,5/28,Delivered
Game ML,Trans,Trans_01,19,EN only,5/28,5/29,Delivered
Game zero,Trans,Trans_01,19,MLT only,5/23,5/29,Delivered
Game zero,Trans,Trans_01,51,MLT only,5/27,5/29,Delivered
Game zero,Trans,Trans_01,11,MLT only,5/27,5/29,Delivered
Game S,Trans,Trans_01,295,MLT only,5/27,5/29,Delivered
Game S,Trans,Trans_01,285,MLT only,5/27,5/29,Delivered
Game S,Trans,Trans_01,49,MLT only,5/28,5/29,Delivered
Game O,Trans,Trans_01,65,MLT only,5/19,5/29,Delivered
Game O,Trans,Trans_01,70,MLT only,5/23,5/29,Delivered
Game T,Trans,Trans_01,50,MLT only,5/28,5/29,Delivered
Game ML,Trans,Trans_01,355,EN only,5/28,5/29,Delivered
Game RB,Trans,Trans_03,209,EN only,5/27,5/29,Delivered
Game S,LQA,Edit_01,-,EN only,5/29,5/29,Delivered
Game A,Trans,Trans_01,100,MLT only,5/27,5/29,Delivered
Game S,LQA,Edit_01,-,EN only,5/29,5/29,Delivered
Game zero,Trans,Trans_01,6,EN only,5/27,5/30,Delivered
Game O,LQA,Edit_05,-,EN only,5/29,5/29,Delivered
Game SR,Trans,Trans_02,37,EN only,5/29,5/30,Delivered
Game SL,LQA,Edit_01,-,EN only,5/27,5/30,Delivered
Game S,Trans,Trans_01,"1,647",MLT only,5/22,5/30,Delivered
Game zero,Trans,Trans_01,7,MLT only,5/27,5/30,Delivered
Game SL,Trans,Trans_02,660,MLT only,5/27,5/30,Delivered
Game SL,Trans,Trans_02,32,MLT only,5/27,5/30,Delivered
Game S,Trans,Trans_01,48,MLT only,5/28,5/30,Delivered
Game SR,Trans,Trans_02,"2,432",MLT only,5/22,5/30,Delivered
Game SR,Trans,Trans_02,797,MLT only,5/27,5/30,Delivered
Game K,Trans,Trans_01,85,MLT only,5/27,5/30,Delivered
Game K,Trans,Trans_01,45,MLT only,5/27,5/30,Delivered
Game M,Trans,Vendor_M,10,MLT only,5/28,5/30,Delivered
Game M,Trans,Trans_02,41,MLT only,5/27,5/30,Delivered
Game T,Trans,Trans_01,20,MLT only,5/29,6/2,Delivered
Game M,Trans,Vendor_M,415,MLT only,5/29,6/2,Delivered
Game S,Trans,Trans_01,364,EN only,5/29,6/2,Delivered
Game S,Trans,Trans_01,25,MLT only,5/22,6/3,Delivered
Game S,Trans,Trans_01,191,MLT only,5/22,6/3,Delivered
Game SL,Trans,Trans_02,342,MLT only,5/28,6/3,Delivered
Game SL,Trans,Trans_02,140,MLT only,5/30,6/3,Delivered
Game K,Trans,Trans_01,143,MLT only,5/29,6/3,Delivered
Game SR,Trans,Trans_02,495,MLT only,5/30,6/3,Delivered
Game SR,Trans,Trans_02,8,MLT only,5/30,6/3,Delivered
Game S,LQA,Edit_01,-,EN only,6/2,6/3,Delivered
Game SL,LQA,Edit_01,-,EN only,5/30,6/3,Delivered
Game SR,Trans,Trans_02,121,MLT only,5/30,6/3,Delivered
Game zero,Trans,Trans_01,62,EN only,5/28,6/3,Delivered
Game S,Trans,Trans_01,67,MLT only,5/27,6/3,Delivered
Game SR,Trans,Trans_02,414,MLT only,6/2,6/3,Delivered
Game SL,LQA,Edit_01,-,EN only,5/30,6/3,Delivered
Game S,Trans,Trans_01,160,EN only,6/2,6/3,Delivered
Game SR,LQA,Edit_01,-,EN only,5/30,6/3,Delivered
Game SL,Trans,Trans_02,44,MLT only,6/2,6/4,Delivered
Game K,Trans,Trans_01,13,MLT only,5/30,6/4,Delivered
Game SI,Trans,Trans_03,199,EN only,5/30,6/4,Delivered
Game S,LQA,Edit_01,-,EN only,6/4,6/4,Delivered
Game S,Trans,Trans_01,243,MLT only,5/30,6/5,Delivered
Game A,LQA,Edit_05,-,EN only,6/4,6/5,Delivered
Game SI,Trans,Trans_03,783,EN only,6/2,6/5,Delivered
Game K,Trans,Trans_01,7,MLT only,6/4,6/6,Delivered
Game S,Trans,Trans_01,315,MLT only,5/29,6/6,Delivered
Game S,Trans,Trans_01,115,MLT only,6/2,6/6,Delivered
Game S,Trans,Trans_01,116,MLT only,6/2,6/6,Delivered
Game S,Trans,Trans_01,"1,047",MLT only,6/2,6/6,Delivered
Game S,Trans,Trans_01,31,MLT only,6/4,6/6,Delivered
Game S,Trans,Trans_01,60,MLT only,6/4,6/6,Delivered
Game SI,Trans,Trans_03,623,EN only,6/5,6/6,Delivered
Game M,Trans,Trans_02,8,MLT only,6/4,6/6,Delivered
Game SL,Trans,Trans_02,35,MLT only,5/30,6/9,Delivered
Game S,Trans,Trans_01,4,MLT only,6/5,6/9,Delivered
Game S,Trans,Trans_01,39,MLT only,6/5,6/9,Delivered
Game A,Trans,Trans_01,213,MLT only,6/5,6/9,Delivered
Game M,Trans,Vendor_M,187,MLT only,6/5,6/9,Delivered
Game M,LQA,Edit_04,-,MLT,6/2,6/9,Delivered
Game zero,Trans,Trans_01,47,EN only,6/4,6/9,Delivered
Game A,Trans,Trans_01,"1,161",MLT only,6/4,6/9,Delivered
Game K,Trans,Trans_01,28,EN only,6/5,6/9,Delivered
Game SL,Trans,Trans_02,163,MLT only,5/28,6/10,Delivered
Game SL,Trans,Trans_02,"6,287",MLT only,5/28,6/10,Delivered
Game SL,Trans,Trans_02,419,MLT only,6/5,6/10,Delivered
Game SL,Trans,Trans_02,546,MLT only,6/5,6/10,Delivered
Game S,Trans,Trans_01,208,MLT only,6/5,6/10,Delivered
Game K,Trans,Trans_01,74,MLT only,6/5,6/10,Delivered
Game SI,Trans,Trans_03,31,EN only,6/9,6/10,Delivered
Game SI,LQA,Edit_04,-,EN only,6/10,6/10,Delivered
Game S,Trans,Trans_01,65,MLT only,6/9,6/11,Delivered
Game ML,Trans,Trans_01,200,EN only,6/9,6/11,Delivered
Game K,Trans,Trans_01,12,MLT only,6/5,6/11,Delivered
Game RB,Trans,Trans_03,"40,597",EN only,5/12,6/11,Delivered
Game S,LQA,Edit_01,-,EN only,6/11,6/11,Delivered
Game RB,Trans,Trans_03,73,EN only,6/10,6/12,Delivered
Game zero,Trans,Trans_01,3,MLT only,6/9,6/12,Delivered
Game S,Trans,Trans_01,179,MLT only,6/11,6/12,Delivered
Game K,Trans,Trans_01,93,MLT only,6/9,6/12,Delivered
Game ML,Trans,Trans_01,92,EN only,6/12,6/16,Delivered
Game SL,Trans,Trans_02,58,MLT only,6/10,6/13,Delivered
Game S,Trans,Trans_01,218,MLT only,6/10,6/13,Delivered
Game S,Trans,Trans_01,57,MLT only,6/11,6/13,Delivered
Game S,Trans,Trans_01,141,MLT only,6/12,6/13,Delivered
Game T,Trans,Trans_01,622,MLT only,6/10,6/13,Delivered
Game A,Trans,Trans_01,209,MLT only,6/11,6/13,Delivered
Game A,Trans,Trans_01,474,MLT only,6/10,6/13,Delivered
Game K,Trans,Trans_01,9,MLT only,6/11,6/13,Delivered
Game T,LQA,Edit_02,-,EN only,6/10,6/13,Delivered
Game RB,LQA,Edit_04,-,EN only,6/10,6/13,Delivered
Game SL,Trans,Trans_02,241,MLT only,6/10,6/16,Delivered
Game A,Trans,Trans_01,210,MLT only,6/13,6/16,Delivered
Game M,Trans,Vendor_M,247,MLT only,6/12,6/16,Delivered
Game S,Trans,Trans_01,466,EN only,6/13,6/16,Delivered
Game P,Trans,Trans_02,37,EN only,6/11,6/16,Delivered
Game RB,Trans,Trans_03,"1,612",EN only,6/4,6/16,Delivered
Game M,Trans,Trans_02,247,EN only,6/13,6/16,Delivered
Game SL,Trans,Trans_02,"1,442",MLT only,6/11,6/17,Delivered
Game S,Trans,Trans_01,63,MLT only,6/12,6/17,Delivered
Game ML,Trans,Trans_01,948,MLT only,6/12,6/17,Delivered
Game S,Trans,Trans_01,244,MLT only,6/13,6/17,Delivered
Game A,Trans,Trans_01,45,EN only,6/13,6/17,Delivered
Game A,Trans,Trans_01,35,MLT only,6/16,6/17,Delivered
Game M,Trans,Trans_02,561,MLT only,6/12,6/17,Delivered
Game M,Trans,Trans_02,61,EN only,6/13,6/17,Delivered
Game SL,Trans,Trans_02,81,EN only,6/17,6/17,Delivered
Game S,LQA,Edit_01,-,EN only,6/17,6/17,Delivered
Game A,LQA,Edit_03,-,EN only,6/17,6/17,Delivered
Game ML,LQA,Edit_04,-,EN only,6/10,6/17,Delivered
Game R,Trans,Vendor_E,"30,189",EN only,5/27,6/18,Delivered
Game S,Review,Trans_01,-,EN only,6/18,6/18,Delivered
Game S,Trans,Trans_01,544,EN only,6/18,6/18,Delivered
Game K,Trans,Trans_01,146,MLT only,6/13,6/18,Delivered
Game M,Trans,Vendor_M,24,MLT only,6/16,6/18,Delivered
Game A,Review,Edit_03,-,EN only,6/17,6/18,Delivered
Game S,LQA,Edit_01,-,EN only,6/18,6/18,Delivered
Game T,Trans,Trans_01,"2,845",MLT only,6/16,6/19,Delivered
Game A,Trans,Trans_01,34,MLT only,6/16,6/19,Delivered
Game S,Trans,Trans_01,183,MLT only,6/16,6/19,Delivered
Game S,Trans,Trans_01,98,MLT only,6/16,6/19,Delivered
Game SR,Trans,Trans_02,4,MLT only,6/16,6/19,Delivered
Game S,Trans,Trans_01,"1,257",MLT only,6/16,6/19,Delivered
Game SL,Trans,Trans_02,20,MLT only,6/16,6/19,Delivered
Game S,Trans,Trans_01,72,EN only,6/20,6/20,Delivered
Game SL,Trans,Trans_02,30,MLT only,6/17,6/20,Delivered
Game S,LQA,Edit_01,-,EN only,6/20,6/23,Delivered
Game R,Trans,Vendor_E,"29,388",EN only,5/27,6/20,Delivered
Game K,Trans,Trans_01,9,MLT only,6/18,6/20,Delivered
Game M,Trans,Trans_02,143,MLT only,6/18,6/20,Delivered
Game T,Trans,Vendor_E,"1,949",EN only,6/17,6/20,Delivered
Game M,Trans,Vendor_M,4,MLT only,6/18,6/20,Delivered
Game K,Trans,Trans_01,20,EN only,6/18,6/20,Delivered
Game T,LQA,Edit_02,-,EN only,6/17,6/20,Delivered
Game T,Trans,Vendor_E,"3,699",EN only,6/17,6/20,Delivered
Game SL,Trans,Trans_02,"8,943",EN only,6/11,6/20,Delivered
Game SL,Trans,Trans_02,56,EN only,6/16,6/20,Delivered
Game SL,Trans,Trans_02,86,EN only,6/13,6/20,Delivered
Game O,Trans,Trans_01,"26,820",MLT only,4/21,6/23,Delivered
Game M,Trans,Vendor_M,156,MLT only,6/20,6/23,Delivered
Game RB,Trans,Trans_03,185,EN only,6/20,6/23,Delivered
Game SL,Trans,Trans_02,367,MLT only,6/17,6/24,Delivered
Game SL,Trans,Trans_02,57,MLT only,6/18,6/24,Delivered
Game zero,Trans,Trans_01,13,MLT only,6/20,6/24,Delivered
Game S,Trans,Trans_01,"1,153",MLT only,6/20,6/24,Delivered
Game K,Trans,Trans_01,"2,461",MLT only,6/17,6/24,Delivered
Game K,Trans,Trans_01,172,MLT only,6/20,6/24,Delivered
Game SL,Trans,Trans_02,31,EN only,6/23,6/24,Delivered
Game S,LQA,Edit_01,-,EN only,6/23,6/24,Delivered
Game T,LQA,Edit_02,-,EN only,6/23,6/24,Delivered
Game ML,Trans,Trans_01,"6,557",MLT only,6/11,6/25,Delivered
Game SL,Trans,Trans_02,"2,882",MLT only,6/17,6/25,Delivered
Game zero,Trans,Trans_01,4,MLT only,6/20,6/25,Delivered
Game S,Trans,Trans_01,8,MLT only,6/20,6/25,Delivered
Game SL,Trans,Trans_02,470,MLT only,6/23,6/25,Delivered
Game S,Trans,Trans_01,6,MLT only,6/20,6/25,Delivered
Game SL,Trans,Trans_02,46,MLT only,6/24,6/25,Delivered
Game T,Trans,Trans_01,648,MLT only,6/18,6/25,Delivered
Game K,Trans,Trans_01,75,MLT only,6/20,6/25,Delivered
Game K,Trans,Trans_01,"1,602",MLT only,6/20,6/25,Delivered
Game A,Trans,Trans_01,72,MLT only,6/23,6/25,Delivered
Game M,Trans,Trans_02,497,MLT only,6/20,6/25,Delivered
Game M,Trans,Vendor_M,19,MLT only,6/24,6/27,Delivered
Game SL,LQA,Edit_01,-,EN only,6/23,6/25,Delivered
Game SL,Trans,Trans_02,69,EN only,6/25,6/25,Delivered
Game ML,Trans,Trans_01,189,MLT only,6/24,6/26,Delivered
Game M,Trans,Vendor_M,61,MLT only,6/23,6/26,Delivered
Game M,Trans,Vendor_M,247,MLT only,6/23,6/26,Delivered
Game A,Trans,Trans_01,442,MLT only,6/24,6/26,Delivered
Game SL,Trans,Trans_02,6,MLT only,6/25,6/27,Delivered
Game SL,Trans,Trans_02,146,MLT only,6/26,6/27,Delivered
Game SL,LQA,Edit_01,-,EN only,6/26,6/30,Delivered
Game M,Trans,Trans_02,45,MLT only,6/25,6/27,Delivered
Game M,Trans,Vendor_M,275,MLT only,6/26,6/27,Delivered
Game M,Trans,Trans_02,11,MLT only,6/27,6/30,Delivered
Game SL,Trans,Trans_02,32,MLT only,6/20,6/30,Delivered
Game S,Trans,Trans_01,"2,080",MLT only,6/23,6/30,Delivered
Game S,Trans,Trans_01,92,MLT only,6/26,6/30,Delivered
Game zero,Trans,Trans_01,27,EN only,6/26,6/30,Delivered
Game O,Trans,Trans_01,"17,338",MLT only,5/7,6/30,Delivered
Game O,Trans,Trans_01,"5,633",MLT only,5/8,6/30,Delivered
Game O,Trans,Trans_01,385,MLT only,6/4,6/30,Delivered
Game O,Trans,Vendor_E,"26,560",MLT only,5/7,6/30,Delivered
Game M,Trans,Vendor_M,544,MLT only,6/26,6/30,Delivered
Game M,Trans,Trans_02,7,MLT only,6/26,6/30,Delivered
Game S,Trans,Trans_01,140,MLT only,6/23,7/1,Delivered
Game zero,Trans,Trans_01,7,MLT only,6/24,7/1,Delivered
Game zero,Trans,Trans_01,415,MLT only,6/25,7/1,Delivered
Game S,Trans,Trans_01,158,MLT only,6/27,7/1,Delivered
Game SL,Trans,Trans_02,371,MLT only,6/27,7/1,Delivered
Game SL,LQA,Edit_01,-,EN only,6/26,6/30,Delivered
Game zero,Trans,Trans_01,99,EN only,6/26,7/1,Delivered
Game T,Trans,Trans_01,"1,620",MLT only,6/17,7/1,Delivered
Game M,Trans,Trans_02,"1,232",MLT only,6/26,7/1,Delivered
Game RB,Trans,Trans_03,"3,628",EN only,6/24,7/1,Delivered
Game A,LQA,Edit_03,-,EN only,7/1,7/1,Delivered
Game SL,LQA,Edit_01,-,EN only,7/1,7/2,Delivered
Game S,Trans,Trans_01,"4,017",MLT only,6/18,7/2,Delivered
Game S,Trans,Trans_01,211,MLT only,6/23,7/2,Delivered
Game P,Trans,Trans_02,"2,929",MLT only,6/24,7/2,Delivered
Game S,Trans,Trans_01,93,MLT only,6/30,7/2,Delivered
Game SL,Trans,Trans_02,118,MLT only,6/30,7/2,Delivered
Game S,Trans,Trans_01,19,MLT only,6/30,7/2,Delivered
Game SI,Review,PR_02,"1,492",EN only,7/2,7/3,Delivered
Game R,Trans,Vendor_E,"5,396",EN only,6/24,7/2,Delivered
Game P,LQA,Edit_05,-,EN only,6/30,7/2,Delivered
Game S,Trans,Trans_01,257,MLT only,6/23,7/3,Delivered
Game zero,Trans,Trans_01,12,MLT only,6/25,7/3,Delivered
Game S,Trans,Trans_01,10,MLT only,6/30,7/3,Delivered
Game S,Trans,Trans_01,8,MLT only,7/1,7/3,Delivered
Game S,Trans,Trans_01,235,MLT only,7/1,7/3,Delivered
Game zero,Trans,Trans_01,121,EN only,6/25,7/3,Delivered
Game O,Trans,Vendor_E,"10,877",MLT only,5/19,7/3,Delivered
Game O,Trans,Trans_01,"1,928",MLT only,6/4,7/3,Delivered
Game T,Trans,Trans_01,"1,364",MLT only,6/20,7/3,Delivered
Game T,Trans,Trans_01,513,MLT only,7/2,7/3,Delivered
